NN;N1;N2;N3;N4;N5;N6
4208;3;7;9;19;42;44
4209;6;7;12;16;18;34
4210;5;18;21;26;38;43
4211;2;27;29;31;44;45
4212;2;7;14;23;28;33
4213;1;17;18;24;29;36
4214;3;5;15;28;38;45
4215;7;21;22;23;39;42
4216;11;19;20;26;38;40
4217;11;14;15;16;32;40
4218;5;12;21;24;25;43
4219;3;14;21;24;31;43
4220;1;15;19;21;28;41
4221;6;7;16;17;31;44
4222;2;15;24;26;30;35
4223;5;6;8;22;30;42
4224;9;12;28;33;35;39
4225;20;25;31;33;35;39
4226;4;8;19;32;40;44
4227;4;24;25;34;35;37
4228;2;3;4;24;37;44
4229;13;18;29;30;31;35
4230;2;14;17;18;42;43
4231;15;28;32;38;39;44
4232;5;15;17;19;23;35
4233;2;3;7;13;17;39
4234;14;15;26;34;38;44
4235;12;14;15;16;32;33
4236;1;5;23;28;40;42
4237;13;16;26;35;37;38
4238;10;14;20;25;42;43
4239;3;10;11;26;27;28
4240;4;17;21;24;41;42
4241;4;8;9;26;39;44
4242;2;18;19;25;26;30
4243;4;11;21;23;34;39
4244;6;15;22;32;34;43
4245;4;11;15;19;27;38
4246;3;12;14;17;29;37
4247;7;18;20;35;40;45
4248;5;12;27;29;35;40
4249;2;5;11;12;21;33
4250;3;10;14;15;32;36
4251;1;16;18;27;30;44
4252;2;20;23;26;27;33
4253;8;19;29;37;41;45
4254;2;3;4;5;17;43
4255;15;18;30;39;42;43
4256;1;15;22;35;36;45
4257;12;16;27;29;39;43
4258;4;20;21;29;37;41
4259;2;4;7;21;30;33
4260;1;9;12;21;37;42
4261;2;16;23;28;30;45
4262;14;18;21;22;28;35
4263;4;5;6;30;34;38
4264;4;18;19;22;40;42
4265;5;12;15;16;21;36
4266;1;4;9;19;27;39
4267;13;19;24;35;36;38
4268;2;8;24;30;41;45
4269;27;28;32;36;37;43
4270;7;18;28;30;43;45
4271;2;8;28;33;34;44
4272;3;9;14;22;23;37
4273;4;5;10;17;21;37
4274;8;19;20;31;35;38
4275;9;21;30;34;43;45
4276;1;2;17;19;24;45
4277;6;11;23;25;34;35
4278;2;17;22;36;43;44
4279;5;13;14;22;31;45
4280;3;17;22;27;28;29
4281;3;14;17;21;30;36
4282;12;13;18;22;29;45
4283;9;13;22;25;33;39
4284;1;20;22;24;27;32
4285;8;15;33;37;38;43
4286;2;8;28;32;34;35
4287;14;15;24;31;35;43
4288;7;9;14;17;18;35
4289;1;12;15;19;39;40
4290;7;10;12;17;34;41
4291;5;10;12;15;28;44
4292;13;24;29;35;39;44
4293;11;18;27;35;43;45
4294;14;23;29;30;34;43
4295;9;10;24;38;40;43
4296;11;18;23;30;44;45
4297;18;23;33;34;39;44
4298;3;7;14;25;35;39
4299;14;20;21;26;28;45
4300;11;16;18;26;37;42
4301;20;25;26;42;43;45
4302;16;25;26;33;42;43
4303;18;20;27;30;33;37
4304;8;9;11;17;35;38
4305;14;20;29;34;37;41
4306;8;10;21;37;42;43
4307;12;17;18;21;33;43
4308;2;7;20;29;32;45
4309;13;29;31;37;40;41
4310;4;10;20;28;33;43
4311;10;25;26;28;31;35
4312;2;8;28;31;36;37
4313;5;6;7;20;22;31
4314;1;2;8;10;35;36
4315;2;3;18;20;37;42
4316;5;18;22;39;41;44
4317;6;26;33;34;43;45
4318;12;17;18;31;36;43
4319;11;26;27;37;42;43
4320;14;26;28;31;36;42
4321;13;26;27;34;38;39
4322;4;9;13;17;36;42
4323;1;2;10;25;27;33
4324;4;14;20;28;32;38
4325;2;21;23;24;25;27
4326;5;6;8;21;27;42
4327;15;21;27;28;35;39
4328;19;23;25;27;37;38
4329;2;13;14;15;19;41
4330;1;2;3;14;29;35
4331;4;7;13;14;22;44
4332;7;11;12;24;34;36
4333;3;4;19;31;32;39
4334;1;9;24;35;38;41
4335;1;10;28;30;34;40
4336;8;11;24;25;33;34
4337;5;14;23;25;35;41
4338;1;2;14;25;35;45
4339;5;10;12;17;25;26
4340;3;13;16;18;22;36
4341;12;14;23;29;33;41
4342;6;9;12;21;22;26
4343;2;9;12;14;35;44
4344;1;5;21;28;38;43
4345;3;15;17;24;39;41
4346;1;7;20;22;34;45
4347;4;5;12;15;33;36
4348;2;15;25;32;35;43
4349;6;23;32;33;43;45
4350;11;15;17;26;27;36
4351;9;13;16;20;28;37
4352;4;10;11;12;13;38
4353;8;13;18;21;23;42
4354;1;15;16;17;27;34
4355;7;12;22;26;35;43
4356;7;11;20;21;25;29
4357;2;12;28;34;41;45
4358;4;11;12;19;20;44
4359;1;4;16;25;28;36
4360;17;20;36;37;38;41
4361;19;23;25;33;36;45
4362;2;4;15;29;38;39
4363;17;27;30;35;39;42
4364;5;7;12;15;33;37
4365;5;17;24;26;32;38
4366;6;10;11;21;27;39
4367;9;15;17;22;38;41
4368;2;5;10;15;26;41
4369;2;6;7;8;13;28
4370;3;4;7;9;14;32
4371;6;8;17;23;32;38
4372;7;8;26;29;37;41
4373;11;14;17;28;30;36
4374;2;7;8;20;25;35
4375;9;10;29;30;33;41
4376;1;11;15;18;28;39
4377;12;14;16;18;37;38
4378;16;21;30;32;36;39
4379;6;10;11;15;19;32
4380;13;17;28;38;43;44
4381;2;6;17;23;24;33
4382;3;14;30;37;38;43
4383;9;10;28;29;32;33
4384;7;8;15;20;21;23
4385;4;15;31;33;36;37
4386;1;2;3;24;32;34
4387;1;12;26;27;28;34
4388;1;10;14;24;32;35
4389;16;22;23;36;39;45
4390;1;16;23;24;25;35
4391;10;16;17;22;30;39
4392;2;3;12;24;31;32
4393;19;20;23;32;38;40
4394;1;2;10;27;37;39
4395;10;19;26;34;36;39
4396;8;12;24;32;35;41
4397;5;8;28;29;31;36
4398;15;17;23;33;39;40
4399;7;15;18;36;37;41
4400;17;18;26;31;33;45
4401;3;7;10;26;35;38
4402;10;16;32;35;36;39
4403;13;14;23;28;40;42
4404;7;12;17;22;38;42
4405;6;8;9;13;31;41
4406;13;16;18;24;30;32
4407;2;19;24;28;29;33
4408;6;7;8;25;29;31
4409;11;13;20;23;39;45
4410;14;31;34;36;39;44
4411;7;20;22;29;38;39
4412;2;26;33;39;40;44
4413;5;12;25;32;36;44
4414;3;10;24;26;28;44
4415;1;15;17;19;24;30
4416;14;15;19;27;30;31
4417;6;18;20;27;34;41
4418;5;8;14;15;21;38
4419;15;17;18;21;42;45
4420;2;14;20;34;38;41
4421;5;15;24;26;34;43
4422;6;9;33;36;42;45
4423;4;5;8;12;20;23
4424;2;11;22;25;28;44
4425;6;9;13;28;29;42
4426;26;33;36;39;41;43
4427;1;3;9;12;36;42
4428;4;6;10;31;40;45
4429;1;14;23;36;40;43
4430;3;8;12;13;34;43
4431;3;5;14;23;30;43
4432;2;10;12;21;28;42
4433;7;8;9;14;16;34
4434;6;15;21;24;28;36
4435;5;12;14;23;32;38
4436;10;14;18;24;34;44
4437;10;18;25;31;33;37
4438;1;7;14;16;19;44
4439;1;4;5;16;25;38
4440;3;10;17;32;38;41
4441;1;7;11;15;37;38
4442;4;7;13;17;21;32
4443;4;7;16;33;39;42
4444;15;19;25;29;31;43
4445;2;7;13;19;37;40
4446;8;13;18;34;43;45
4447;12;16;22;24;26;39
4448;1;4;35;40;41;42
4449;9;10;11;13;22;37
4450;4;20;24;29;37;41
4451;12;25;30;38;43;45
4452;11;21;27;28;31;36
4453;7;27;29;32;33;34
4454;7;22;27;28;35;41
4455;12;16;19;21;25;28
4456;4;7;20;24;34;35
4457;2;14;24;26;32;35
4458;2;9;15;33;38;39
4459;13;18;23;27;30;41
4460;14;23;25;36;38;45
4461;4;20;31;39;42;44
4462;4;9;13;28;31;38
4463;5;19;21;24;31;34
4464;10;19;22;27;33;35
4465;2;4;8;9;11;21
4466;6;16;26;34;36;42
4467;10;13;18;28;31;35
4468;3;8;13;22;24;30
4469;13;27;31;33;35;44
4470;3;12;17;36;39;45
4471;2;13;14;15;27;43
4472;3;8;24;26;29;31
4473;3;16;21;26;28;38
4474;13;22;29;30;31;43
4475;5;15;24;29;35;37
4476;17;23;24;36;39;44
4477;16;19;25;29;33;35
4478;14;17;28;34;35;40
4479;3;14;19;32;37;43
4480;5;6;7;12;26;34
4481;8;10;22;33;36;37
4482;8;11;14;22;32;33
4483;3;11;24;30;41;45
4484;1;25;26;30;35;41
4485;11;13;18;38;40;43
4486;1;2;10;31;37;45
4487;8;16;24;36;40;44
4488;7;23;29;38;40;45
4489;2;5;10;16;25;42
4490;2;5;15;31;38;40
4491;5;10;14;19;26;33
4492;1;6;12;18;34;38
4493;1;6;14;28;29;40
4494;1;4;10;11;39;40
4495;4;8;17;35;38;43
4496;6;8;11;14;21;33
4497;2;5;10;15;19;43
4498;4;5;11;13;41;45
4499;7;18;21;23;27;31
4500;2;6;14;19;32;36
4501;2;10;28;41;44;45
4502;1;6;24;25;38;45
4503;4;5;20;27;28;37
4504;4;5;16;19;26;37
4505;8;21;25;34;36;43
4506;12;13;18;30;31;34
4507;17;19;21;23;34;42
4508;5;12;19;31;38;45
4509;12;13;20;26;28;42
4510;8;12;16;20;21;34
4511;12;13;22;27;38;42
4512;12;13;21;27;32;34
4513;9;17;19;22;23;29
4514;8;12;17;29;32;36
4515;16;22;25;31;39;45
4516;7;15;19;22;35;36
4517;4;12;15;17;21;34
4518;1;11;12;35;36;40
4519;7;23;29;34;38;41
4520;18;21;23;25;32;36
4521;3;6;23;25;35;43
4522;10;23;25;29;38;42
4523;2;12;26;27;34;40
4524;11;16;32;35;37;45
4525;2;7;8;22;28;39
4526;4;6;12;19;29;36
4527;4;24;33;39;40;45
4528;5;10;11;12;26;32
4529;4;5;10;19;33;40
4530;1;2;12;20;31;33
4531;6;17;23;24;32;37
4532;1;4;25;28;42;45
4533;14;17;19;34;35;38
4534;1;6;21;28;38;39
4535;13;15;23;32;36;39
4536;3;4;16;25;28;34
4537;1;12;17;20;24;45
4538;18;20;24;33;39;40
4539;2;5;6;18;21;31
4540;10;12;13;16;26;30
4541;5;26;29;30;35;38
4542;8;23;34;38;39;40
4543;4;17;20;31;37;39
4544;1;16;22;37;38;44
4545;1;3;9;23;39;41
4546;5;26;27;29;44;45
4547;3;10;20;23;37;40
4548;1;5;16;34;38;41
4549;4;6;10;15;21;29
4550;2;21;22;29;31;32
4551;6;19;23;28;44;45
4552;2;3;4;6;7;39
4553;8;12;17;22;23;32
4554;8;19;20;31;33;36
4555;14;18;19;22;30;40
4556;3;16;30;39;40;41
4557;2;6;9;15;22;43
4558;12;17;19;33;36;39
4559;6;20;21;27;28;32
4560;1;18;20;24;26;40
4561;4;20;22;23;33;41
4562;6;9;13;25;42;45
